type,ids,length,openings
IW,IW,3600.0,1
IW,IW,6300.0,2
IW,IW,4500.0,1
IW,IW,4499.9985961914181,0
IW,IW,900.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,899.9985961913917,0
IW,IW,900.0,0
IW,IW,899.99859619139079,0
IW,IW,1800.0,0
IW,IW,3600.0000000000673,1
IW,IW,1800.0,1
IW,IW,5400.0,1
IW,IW,4500.0,1
IW,IW,1800.0,0
IW,IW,4500.0,1
IW,IW,1800.0003662109466,0
IW,IW,3600.0,0
IW,IW,3600.0,1
IW,IW,3600.0,0
IW,IW,900.0,0
IW,IW,1800.0,0
IW,IW,1800.0,1
IW,IW,1799.9995117187354,0
IW,IW,1800.0,0
IW,IW,3600.0,0
IW,IW,3600.0,0
IW,IW,899.99999999996362,0
