id,type,storey,length,width,area,doors,windows
0,Start,0,0.0,0.0,0.0,0,0
1,S,0,-1.0,-1.0,5.105369370262667,0,0
2,F,0,9.80039492318619,8.3990267395006,82.31377901750673,0,0
3,EW,0,9.80039492318619,3.0,29.40118476955857,1,3
4,EW,0,8.3990267395006,3.0,25.197080218501803,0,1
5,EW,0,9.80039492318619,3.0,29.40118476955857,0,3
6,EW,0,8.3990267395006,3.0,25.197080218501803,0,0
7,F,1,9.003306894455887,8.570717231039255,77.16479753664761,0,0
8,R,2,9.003306894455887,5.231456901556336,47.100411989831,0,0
9,R,2,8.570717231039255,5.495504135786284,47.100411989831,0,0
10,R,2,9.003306894455887,5.231456901556336,47.100411989831,0,0
11,R,2,8.570717231039255,5.495504135786284,47.100411989831,0,0
12,EW,1,9.003306894455887,3.0,27.00992068336766,1,2
13,EW,1,8.570717231039255,3.0,25.712151693117768,0,2
14,EW,1,9.003306894455887,3.0,27.00992068336766,0,3
15,EW,1,8.570717231039255,3.0,25.712151693117768,0,0
16,IWB,0,3.216371649625445,3.0,9.649114948876337,0,0
17,IWB,0,4.940107388451453,3.0,14.82032216535436,1,0
18,IWB,0,1.872588837325184,3.0,5.617766511975553,0,0
19,IWB,0,3.64520834448319,3.0,10.93562503344957,3,0
20,IW,0,1.8832824384750992,3.0,5.649847315425298,0,0
21,IW,0,2.5438462657850685,3.0,7.631538797355205,1,0
22,IW,0,1.177480686106011,3.0,3.5324420583180327,0,0
23,IW,0,3.216371649625445,3.0,9.649114948876337,1,0
24,IW,0,2.5438462657850685,3.0,7.631538797355205,1,0
25,IW,0,2.7304665857554515,3.0,8.191399757266355,1,0
26,IWB,1,2.040230688736065,3.0,6.1206920662081945,2,0
27,IWB,1,3.774949302809615,3.0,11.324847908428843,0,0
28,IWB,1,3.2570055964854,3.0,9.7710167894562,0,0
29,IWB,1,2.580125605506447,3.0,7.7403768165193405,0,0
30,IW,1,3.448815758418518,3.0,10.346447275255551,0,0
31,IW,1,3.774949302809615,3.0,11.324847908428843,2,0
32,IW,1,3.5451254321295,3.0,10.6353762963885,0,0
33,IW,1,3.2570055964854,3.0,9.7710167894562,1,0
34,IW,1,3.8840668896986776,3.0,11.652200669096032,1,0
35,IW,1,3.4528085408255023,3.0,10.358425622476506,0,0
36,Finish,2,0.0,0.0,0.0,0,0
